date,transit_mode,sentiment_category,sentiment_score,comment
2023-01-01,bike share,neutral,0.0,Typical NYC bike share experience this morning.
2023-01-02,bus,neutral,0.0,The bus seems to be operating normally.
2023-01-03,taxi,very positive,1.0,NYC taxi is improving a lot lately.
2023-01-04,rideshare,neutral,0.0,"The rideshare was average today, nothing special."
2023-01-05,bus,positive,0.5,The new bus options are making my commute easier.
2023-01-06,rideshare,negative,-0.5,Another terrible experience with the rideshare.
2023-01-07,bus,very negative,-1.0,NYC needs to improve its bus system ASAP.
2023-01-08,rideshare,neutral,0.0,Using the rideshare to get downtown today.
2023-01-09,walking,neutral,0.0,"The walking was average today, nothing special."
2023-01-10,bus,negative,-0.5,The bus is always delayed. Frustrated!
2023-01-11,rideshare,very positive,1.0,Just had a great experience using the rideshare.
2023-01-12,bike share,neutral,0.0,The bike share seems to be operating normally.
2023-01-13,subway,negative,-0.5,Why is the subway in NYC so unreliable?
2023-01-14,bus,negative,-0.5,NYC needs to improve its bus system ASAP.
2023-01-15,bike share,negative,-0.5,NYC needs to improve its bike share system ASAP.
2023-01-16,subway,very positive,1.0,The subway system is working really well today.
2023-01-17,bus,negative,-0.5,Another terrible experience with the bus.
2023-01-18,bike share,neutral,0.0,Using the bike share to get downtown today.
2023-01-19,bike share,neutral,0.0,Using the bike share to get downtown today.
2023-01-20,walking,negative,-0.5,Why is the walking in NYC so unreliable?
2023-01-21,bike share,negative,-0.5,Why is the bike share in NYC so unreliable?
2023-01-22,walking,negative,-0.5,"Avoid the walking today, total disaster."
2023-01-23,taxi,neutral,0.0,Typical NYC taxi experience this morning.
2023-01-24,rideshare,negative,-0.5,The rideshare is always delayed. Frustrated!
2023-01-25,subway,very negative,-1.0,"Avoid the subway today, total disaster."
2023-01-26,rideshare,positive,0.5,The new rideshare options are making my commute easier.
2023-01-27,rideshare,negative,-0.5,Why is the rideshare in NYC so unreliable?
2023-01-28,walking,positive,0.5,I love the walking in NYC. It's so convenient!
2023-01-29,rideshare,positive,0.5,The new rideshare options are making my commute easier.
2023-01-30,bike share,neutral,0.0,The bike share seems to be operating normally.
2023-01-31,walking,neutral,0.0,Taking the walking to work as usual.
2023-02-01,rideshare,negative,-0.5,NYC needs to improve its rideshare system ASAP.
2023-02-02,walking,positive,0.5,The new walking options are making my commute easier.
2023-02-03,taxi,neutral,0.0,Taking the taxi to work as usual.
2023-02-04,walking,neutral,0.0,"The walking was average today, nothing special."
2023-02-05,bus,very negative,-1.0,Why is the bus in NYC so unreliable?
2023-02-06,bike share,very positive,1.0,The bike share system is working really well today.
2023-02-07,subway,very negative,-1.0,Why is the subway in NYC so unreliable?
2023-02-08,bus,neutral,0.0,Using the bus to get downtown today.
2023-02-09,bus,neutral,0.0,Taking the bus to work as usual.
2023-02-10,bus,very negative,-1.0,Another terrible experience with the bus.
2023-02-11,rideshare,neutral,0.0,Using the rideshare to get downtown today.
